fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,quality_binary,quality_label
8.10,0.87,0.00,3.30,0.0960,26.00,61.00,1.0002,3.60,0.72,9.80,4,0,0
7.90,0.35,0.46,3.60,0.0780,15.00,37.00,0.9973,3.35,0.86,12.80,8,1,1
6.90,0.54,0.04,3.00,0.0770,7.00,27.00,0.9987,3.69,0.91,9.40,6,1,1
11.50,0.18,0.51,4.00,0.1040,4.00,23.00,0.9996,3.28,0.97,10.10,6,1,1
7.90,0.55,0.06,4.00,0.0870,27.00,61.00,0.9965,3.36,0.67,10.70,6,1,1
11.50,0.18,0.51,4.00,0.1040,4.00,23.00,0.9996,3.28,0.97,10.10,6,1,1
10.90,0.37,0.58,4.00,0.0710,17.00,65.00,0.9994,3.22,0.78,10.10,5,0,0
8.40,0.72,0.20,2.40,0.0760,10.00,38.00,0.9974,3.31,0.64,9.40,5,0,0
7.50,0.65,0.18,7.00,0.0880,27.00,94.00,0.9992,3.38,0.77,9.40,5,0,0
7.90,0.55,0.06,4.00,0.0870,27.00,61.00,0.9965,3.36,0.67,10.70,6,1,1
6.90,0.54,0.04,3.00,0.0770,7.00,27.00,0.9987,3.69,0.91,9.40,6,1,1
11.50,0.18,0.51,4.00,0.1040,4.00,23.00,0.9996,3.28,0.97,10.10,6,1,1
10.30,0.32,0.45,6.40,0.0730,5.00,13.00,0.9976,3.23,0.82,12.60,8,1,1
8.90,0.40,0.32,5.60,0.0870,10.00,47.00,0.9991,3.38,0.77,10.50,7,1,1
11.40,0.26,0.44,3.60,0.0710,6.00,19.00,0.9986,3.12,0.82,9.30,6,1,1
7.70,0.27,0.68,3.50,0.3580,5.00,10.00,0.9972,3.25,1.08,9.90,7,1,1
7.60,0.52,0.12,3.00,0.0670,12.00,53.00,0.9971,3.36,0.57,9.10,5,0,0
8.90,0.40,0.32,5.60,0.0870,10.00,47.00,0.9991,3.38,0.77,10.50,7,1,1
9.90,0.59,0.07,3.40,0.1020,32.00,71.00,1.0002,3.31,0.71,9.80,5,0,0
9.90,0.59,0.07,3.40,0.1020,32.00,71.00,1.0002,3.31,0.71,9.80,5,0,0
12.00,0.45,0.55,2.00,0.0730,25.00,49.00,0.9997,3.10,0.76,10.30,6,1,1
7.50,0.40,0.12,3.00,0.0920,29.00,53.00,0.9967,3.37,0.70,10.30,6,1,1
8.70,0.52,0.09,2.50,0.0910,20.00,49.00,0.9976,3.34,0.86,10.60,7,1,1
11.60,0.42,0.53,3.30,0.1050,33.00,98.00,1.0010,3.20,0.95,9.20,5,0,0
8.70,0.52,0.09,2.50,0.0910,20.00,49.00,0.9976,3.34,0.86,10.60,7,1,1
11.00,0.20,0.48,2.00,0.3430,6.00,18.00,0.9979,3.30,0.71,10.50,5,0,0
10.40,0.55,0.23,2.70,0.0910,18.00,48.00,0.9994,3.22,0.64,10.30,6,1,1
6.90,0.36,0.25,2.40,0.0980,5.00,16.00,0.9964,3.41,0.60,10.10,6,1,1
13.30,0.34,0.52,3.20,0.0940,17.00,53.00,1.0014,3.05,0.81,9.50,6,1,1
10.80,0.50,0.46,2.50,0.0730,5.00,27.00,1.0001,3.05,0.64,9.50,5,0,0
10.60,0.83,0.37,2.60,0.0860,26.00,70.00,0.9981,3.16,0.52,9.90,5,0,0
7.10,0.63,0.06,2.00,0.0830,8.00,29.00,0.9986,3.67,0.73,9.60,5,0,0
7.20,0.65,0.02,2.30,0.0940,5.00,31.00,0.9993,3.67,0.80,9.70,5,0,0
6.90,0.67,0.06,2.10,0.0800,8.00,33.00,0.9984,3.68,0.71,9.60,5,0,0
7.50,0.53,0.06,2.60,0.0860,20.00,44.00,0.9965,3.38,0.59,10.70,6,1,1
11.10,0.18,0.48,1.50,0.0680,7.00,15.00,0.9973,3.22,0.64,10.10,6,1,1
8.30,0.71,0.12,2.60,0.0920,12.00,28.00,0.9994,3.51,0.72,10.00,5,0,0
7.40,0.67,0.12,1.60,0.1860,5.00,21.00,0.9960,3.39,0.54,9.50,5,0,0
8.40,0.65,0.60,2.10,0.1120,12.00,90.00,0.9973,3.20,0.52,9.20,5,0,0
10.30,0.53,0.48,2.50,0.0630,6.00,25.00,0.9998,3.12,0.59,9.30,6,1,1
7.60,0.62,0.32,2.20,0.0820,7.00,54.00,0.9966,3.36,0.52,9.40,5,0,0
10.30,0.41,0.42,2.40,0.2130,6.00,14.00,0.9994,3.19,0.62,9.50,6,1,1
10.30,0.43,0.44,2.40,0.2140,5.00,12.00,0.9994,3.19,0.63,9.50,6,1,1
7.40,0.29,0.38,1.70,0.0620,9.00,30.00,0.9968,3.41,0.53,9.50,6,1,1
10.30,0.53,0.48,2.50,0.0630,6.00,25.00,0.9998,3.12,0.59,9.30,6,1,1
7.90,0.53,0.24,2.00,0.0720,15.00,105.00,0.9960,3.27,0.54,9.40,6,1,1
9.00,0.46,0.31,2.80,0.0930,19.00,98.00,0.9982,3.32,0.63,9.50,6,1,1
8.60,0.47,0.30,3.00,0.0760,30.00,135.00,0.9976,3.30,0.53,9.40,5,0,0
7.40,0.36,0.29,2.60,0.0870,26.00,72.00,0.9964,3.39,0.68,11.00,5,0,0
7.10,0.35,0.29,2.50,0.0960,20.00,53.00,0.9962,3.42,0.65,11.00,6,1,1
9.60,0.56,0.23,3.40,0.1020,37.00,92.00,0.9996,3.30,0.65,10.10,5,0,0
9.60,0.77,0.12,2.90,0.0820,30.00,74.00,0.9986,3.30,0.64,10.40,6,1,1
9.80,0.66,0.39,3.20,0.0830,21.00,59.00,0.9989,3.37,0.71,11.50,7,1,1
9.60,0.77,0.12,2.90,0.0820,30.00,74.00,0.9986,3.30,0.64,10.40,6,1,1
9.80,0.66,0.39,3.20,0.0830,21.00,59.00,0.9989,3.37,0.71,11.50,7,1,1
9.30,0.61,0.26,3.40,0.0900,25.00,87.00,0.9998,3.24,0.62,9.70,5,0,0
7.80,0.62,0.05,2.30,0.0790,6.00,18.00,0.9974,3.29,0.63,9.30,5,0,0
10.30,0.59,0.42,2.80,0.0900,35.00,73.00,0.9990,3.28,0.70,9.50,6,1,1
10.00,0.49,0.20,11.00,0.0710,13.00,50.00,1.0015,3.16,0.69,9.20,6,1,1
10.00,0.49,0.20,11.00,0.0710,13.00,50.00,1.0015,3.16,0.69,9.20,6,1,1
11.60,0.53,0.66,3.65,0.1210,6.00,14.00,0.9978,3.05,0.74,11.50,7,1,1
10.30,0.44,0.50,4.50,0.1070,5.00,13.00,0.9980,3.28,0.83,11.50,5,0,0
13.40,0.27,0.62,2.60,0.0820,6.00,21.00,1.0002,3.16,0.67,9.70,6,1,1
10.70,0.46,0.39,2.00,0.0610,7.00,15.00,0.9981,3.18,0.62,9.50,5,0,0
10.20,0.36,0.64,2.90,0.1220,10.00,41.00,0.9980,3.23,0.66,12.50,6,1,1
10.20,0.36,0.64,2.90,0.1220,10.00,41.00,0.9980,3.23,0.66,12.50,6,1,1
8.00,0.58,0.28,3.20,0.0660,21.00,114.00,0.9973,3.22,0.54,9.40,6,1,1
8.40,0.56,0.08,2.10,0.1050,16.00,44.00,0.9958,3.13,0.52,11.00,5,0,0
7.90,0.65,0.01,2.50,0.0780,17.00,38.00,0.9963,3.34,0.74,11.70,7,1,1
11.90,0.70,0.53,3.40,0.1280,7.00,21.00,0.9992,3.17,0.84,12.20,7,1,1
8.90,0.43,0.45,1.90,0.0520,6.00,16.00,0.9948,3.35,0.70,12.50,6,1,1
7.80,0.43,0.32,2.80,0.0800,29.00,58.00,0.9974,3.31,0.64,10.30,5,0,0
12.40,0.49,0.58,3.00,0.1030,28.00,99.00,1.0008,3.16,1.00,11.50,6,1,1
12.50,0.28,0.54,2.30,0.0820,12.00,29.00,0.9997,3.11,1.36,9.80,7,1,1
12.20,0.34,0.50,2.40,0.0660,10.00,21.00,1.0000,3.12,1.18,9.20,6,1,1
10.60,0.42,0.48,2.70,0.0650,5.00,18.00,0.9972,3.21,0.87,11.30,6,1,1
10.90,0.39,0.47,1.80,0.1180,6.00,14.00,0.9982,3.30,0.75,9.80,6,1,1
10.90,0.39,0.47,1.80,0.1180,6.00,14.00,0.9982,3.30,0.75,9.80,6,1,1
11.90,0.57,0.50,2.60,0.0820,6.00,32.00,1.0006,3.12,0.78,10.70,6,1,1
7.00,0.69,0.00,1.90,0.0670,40.00,63.00,0.9979,3.60,0.81,9.90,5,0,0
6.60,0.82,0.02,2.70,0.0720,17.00,34.00,0.9955,3.58,0.89,12.30,7,1,1
13.80,0.49,0.67,3.00,0.0930,6.00,15.00,0.9986,3.02,0.93,12.00,6,1,1
9.60,0.56,0.31,2.80,0.0890,15.00,46.00,0.9979,3.11,0.92,10.00,6,1,1
9.10,0.79,0.00,2.60,0.0930,11.00,28.00,0.9994,3.36,0.86,9.40,6,1,1
10.70,0.67,0.22,2.70,0.1070,17.00,34.00,1.0004,3.28,0.98,9.90,6,1,1
9.10,0.80,0.00,2.60,0.0960,11.00,26.00,0.9994,3.35,0.83,9.40,6,1,1
7.70,0.67,0.00,2.40,0.0900,8.00,19.00,0.9974,3.27,0.73,9.30,5,0,0
13.50,0.53,0.79,4.80,0.1200,23.00,77.00,1.0018,3.18,0.77,13.00,5,0,0
6.10,0.21,0.40,1.40,0.0660,40.50,165.00,0.9912,3.25,0.59,11.90,6,1,1
6.70,0.75,0.01,2.40,0.0780,17.00,32.00,0.9955,3.55,0.61,12.80,6,1,1
11.50,0.41,0.52,3.00,0.0800,29.00,55.00,1.0001,3.26,0.88,11.00,5,0,0
10.50,0.42,0.66,2.95,0.1160,12.00,29.00,0.9970,3.24,0.75,11.70,7,1,1
11.90,0.43,0.66,3.10,0.1090,10.00,23.00,1.0000,3.15,0.85,10.40,7,1,1
12.60,0.38,0.66,2.60,0.0880,10.00,41.00,1.0010,3.17,0.68,9.80,6,1,1
8.20,0.70,0.23,2.00,0.0990,14.00,81.00,0.9973,3.19,0.70,9.40,5,0,0
8.60,0.45,0.31,2.60,0.0860,21.00,50.00,0.9982,3.37,0.91,9.90,6,1,1
11.90,0.58,0.66,2.50,0.0720,6.00,37.00,0.9992,3.05,0.56,10.00,5,0,0
12.50,0.46,0.63,2.00,0.0710,6.00,15.00,0.9988,2.99,0.87,10.20,5,0,0
12.80,0.62,0.66,5.80,0.0830,7.00,42.00,1.0022,3.07,0.73,10.00,7,1,1
10.00,0.42,0.50,3.40,0.1070,7.00,21.00,0.9979,3.26,0.93,11.80,6,1,1
12.80,0.62,0.66,5.80,0.0830,7.00,42.00,1.0022,3.07,0.73,10.00,7,1,1
10.40,0.58,0.61,2.60,0.0760,11.00,24.00,1.0000,3.16,0.69,9.00,5,0,0
10.30,0.34,0.52,2.80,0.1590,15.00,75.00,0.9998,3.18,0.64,9.40,5,0,0
9.40,0.27,0.53,2.40,0.0740,6.00,18.00,0.9962,3.20,1.13,12.00,7,1,1
6.90,0.77,0.02,2.30,0.0630,35.00,63.00,0.9975,3.57,0.78,9.90,5,0,0
7.90,0.24,0.40,1.60,0.0560,11.00,25.00,0.9967,3.32,0.87,8.70,6,1,1
9.10,0.28,0.48,1.80,0.0670,26.00,46.00,0.9967,3.32,1.04,10.60,6,1,1
7.40,0.55,0.22,2.20,0.1060,12.00,72.00,0.9959,3.05,0.63,9.20,5,0,0
14.00,0.41,0.63,3.80,0.0890,6.00,47.00,1.0014,3.01,0.81,10.80,6,1,1
11.50,0.54,0.71,4.40,0.1240,6.00,15.00,0.9984,3.01,0.83,11.80,7,1,1
11.50,0.45,0.50,3.00,0.0780,19.00,47.00,1.0003,3.26,1.11,11.00,6,1,1
9.40,0.27,0.53,2.40,0.0740,6.00,18.00,0.9962,3.20,1.13,12.00,7,1,1
11.40,0.63,0.66,6.20,0.0880,6.00,24.00,0.9988,3.11,0.99,13.30,6,1,1
8.30,0.42,0.38,2.50,0.0940,24.00,60.00,0.9979,3.31,0.70,10.80,6,1,1
8.30,0.26,0.42,2.00,0.0800,11.00,27.00,0.9974,3.21,0.80,9.40,6,1,1
13.70,0.42,0.68,2.90,0.0850,17.00,43.00,1.0014,3.06,0.80,10.00,6,1,1
8.30,0.26,0.42,2.00,0.0800,11.00,27.00,0.9974,3.21,0.80,9.40,6,1,1
8.30,0.26,0.42,2.00,0.0800,11.00,27.00,0.9974,3.21,0.80,9.40,6,1,1
7.70,0.51,0.28,2.10,0.0870,23.00,54.00,0.9980,3.42,0.74,9.20,5,0,0
7.40,0.63,0.07,2.40,0.0900,11.00,37.00,0.9979,3.43,0.76,9.70,6,1,1
7.80,0.54,0.26,2.00,0.0880,23.00,48.00,0.9981,3.41,0.74,9.20,6,1,1
8.30,0.66,0.15,1.90,0.0790,17.00,42.00,0.9972,3.31,0.54,9.60,6,1,1
7.80,0.46,0.26,1.90,0.0880,23.00,53.00,0.9981,3.43,0.74,9.20,6,1,1
9.60,0.38,0.31,2.50,0.0960,16.00,49.00,0.9982,3.19,0.70,10.00,7,1,1
5.60,0.85,0.05,1.40,0.0450,12.00,88.00,0.9924,3.56,0.82,12.90,8,1,1
13.70,0.42,0.68,2.90,0.0850,17.00,43.00,1.0014,3.06,0.80,10.00,6,1,1
9.50,0.37,0.52,2.00,0.0820,6.00,26.00,0.9980,3.18,0.51,9.50,5,0,0
8.40,0.67,0.61,2.00,0.1120,13.00,95.00,0.9970,3.16,0.54,9.10,5,0,0
12.70,0.60,0.65,2.30,0.0630,6.00,25.00,0.9997,3.03,0.57,9.90,5,0,0
12.00,0.37,0.76,4.20,0.0660,7.00,38.00,1.0004,3.22,0.60,13.00,7,1,1
6.60,0.74,0.02,7.90,0.1220,68.00,124.00,0.9994,3.47,0.53,9.90,5,0,0
11.50,0.59,0.59,2.60,0.0870,13.00,49.00,0.9988,3.18,0.65,11.00,6,1,1
11.50,0.59,0.59,2.60,0.0870,13.00,49.00,0.9988,3.18,0.65,11.00,6,1,1
8.70,0.77,0.22,2.30,0.0640,9.00,42.00,0.9963,3.10,0.55,9.40,5,0,0
6.60,0.74,0.02,7.90,0.1220,68.00,124.00,0.9994,3.47,0.53,9.90,5,0,0
7.70,0.26,0.30,1.70,0.0590,20.00,38.00,0.9949,3.29,0.47,10.80,6,1,1
12.20,0.48,0.54,2.60,0.0850,19.00,64.00,1.0000,3.10,0.61,10.50,6,1,1
11.40,0.60,0.49,2.70,0.0850,10.00,41.00,0.9994,3.15,0.63,10.50,6,1,1
7.70,0.69,0.05,2.70,0.0750,15.00,27.00,0.9974,3.26,0.61,9.10,5,0,0
8.70,0.31,0.46,1.40,0.0590,11.00,25.00,0.9966,3.36,0.76,10.10,6,1,1
9.80,0.44,0.47,2.50,0.0630,9.00,28.00,0.9981,3.24,0.65,10.80,6,1,1
12.00,0.39,0.66,3.00,0.0930,12.00,30.00,0.9996,3.18,0.63,10.80,7,1,1
10.40,0.34,0.58,3.70,0.1740,6.00,16.00,0.9970,3.19,0.70,11.30,6,1,1
12.50,0.46,0.49,4.50,0.0700,26.00,49.00,0.9981,3.05,0.57,9.60,4,0,0
9.00,0.43,0.34,2.50,0.0800,26.00,86.00,0.9987,3.38,0.62,9.50,6,1,1
9.10,0.45,0.35,2.40,0.0800,23.00,78.00,0.9987,3.38,0.62,9.50,5,0,0
7.10,0.74,0.16,1.90,0.1000,15.00,77.00,0.9966,3.27,0.64,9.30,5,0,0
9.90,0.40,0.53,6.70,0.0970,6.00,19.00,0.9986,3.27,0.82,11.70,7,1,1
8.80,0.52,0.34,2.70,0.0870,24.00,122.00,0.9982,3.26,0.61,9.50,5,0,0
8.60,0.73,0.24,6.60,0.1170,31.00,134.00,1.0014,3.32,1.07,9.30,5,0,0
10.60,0.48,0.64,2.20,0.1110,6.00,20.00,0.9970,3.26,0.66,11.70,6,1,1
7.00,0.58,0.12,1.90,0.0910,34.00,124.00,0.9956,3.44,0.48,10.50,5,0,0
11.90,0.38,0.51,2.00,0.1210,7.00,20.00,0.9996,3.24,0.76,10.40,6,1,1
6.80,0.77,0.00,1.80,0.0660,34.00,52.00,0.9976,3.62,0.68,9.90,5,0,0
9.50,0.56,0.33,2.40,0.0890,35.00,67.00,0.9972,3.28,0.73,11.80,7,1,1
6.60,0.84,0.03,2.30,0.0590,32.00,48.00,0.9952,3.52,0.56,12.30,7,1,1
7.70,0.96,0.20,2.00,0.0470,15.00,60.00,0.9955,3.36,0.44,10.90,5,0,0
10.50,0.24,0.47,2.10,0.0660,6.00,24.00,0.9978,3.15,0.90,11.00,7,1,1
7.70,0.96,0.20,2.00,0.0470,15.00,60.00,0.9955,3.36,0.44,10.90,5,0,0
6.60,0.84,0.03,2.30,0.0590,32.00,48.00,0.9952,3.52,0.56,12.30,7,1,1
6.40,0.67,0.08,2.10,0.0450,19.00,48.00,0.9949,3.49,0.49,11.40,6,1,1
9.50,0.78,0.22,1.90,0.0770,6.00,32.00,0.9988,3.26,0.56,10.60,6,1,1
9.10,0.52,0.33,1.30,0.0700,9.00,30.00,0.9978,3.24,0.60,9.30,5,0,0
12.80,0.84,0.63,2.40,0.0880,13.00,35.00,0.9997,3.10,0.60,10.40,6,1,1
10.50,0.24,0.47,2.10,0.0660,6.00,24.00,0.9978,3.15,0.90,11.00,7,1,1
7.80,0.55,0.35,2.20,0.0740,21.00,66.00,0.9974,3.25,0.56,9.20,5,0,0
11.90,0.37,0.69,2.30,0.0780,12.00,24.00,0.9958,3.00,0.65,12.80,6,1,1
12.30,0.39,0.63,2.30,0.0910,6.00,18.00,1.0004,3.16,0.49,9.50,5,0,0
10.40,0.41,0.55,3.20,0.0760,22.00,54.00,0.9996,3.15,0.89,9.90,6,1,1
12.30,0.39,0.63,2.30,0.0910,6.00,18.00,1.0004,3.16,0.49,9.50,5,0,0
8.00,0.67,0.30,2.00,0.0600,38.00,62.00,0.9958,3.26,0.56,10.20,6,1,1
11.10,0.45,0.73,3.20,0.0660,6.00,22.00,0.9986,3.17,0.66,11.20,6,1,1
10.40,0.41,0.55,3.20,0.0760,22.00,54.00,0.9996,3.15,0.89,9.90,6,1,1
7.00,0.62,0.18,1.50,0.0620,7.00,50.00,0.9951,3.08,0.60,9.30,5,0,0
12.60,0.31,0.72,2.20,0.0720,6.00,29.00,0.9987,2.88,0.82,9.80,8,1,1
11.90,0.40,0.65,2.15,0.0680,7.00,27.00,0.9988,3.06,0.68,11.30,6,1,1
15.60,0.69,0.76,3.70,0.1000,6.00,43.00,1.0032,2.95,0.68,11.20,7,1,1
10.00,0.44,0.49,2.70,0.0770,11.00,19.00,0.9963,3.23,0.63,11.60,7,1,1
5.30,0.57,0.01,1.70,0.0540,5.00,27.00,0.9934,3.57,0.84,12.50,7,1,1
9.50,0.74,0.10,2.10,0.0790,6.00,31.00,0.9986,3.23,0.56,10.10,6,1,1
12.50,0.38,0.60,2.60,0.0810,31.00,72.00,0.9996,3.10,0.73,10.50,5,0,0
9.30,0.48,0.29,2.10,0.1270,6.00,16.00,0.9968,3.22,0.72,11.20,5,0,0
8.60,0.53,0.22,2.00,0.1000,7.00,27.00,0.9967,3.20,0.56,10.20,6,1,1
11.90,0.39,0.69,2.80,0.0950,17.00,35.00,0.9994,3.10,0.61,10.80,6,1,1
11.90,0.39,0.69,2.80,0.0950,17.00,35.00,0.9994,3.10,0.61,10.80,6,1,1
8.40,0.37,0.53,1.80,0.4130,9.00,26.00,0.9979,3.06,1.06,9.10,6,1,1
6.80,0.56,0.03,1.70,0.0840,18.00,35.00,0.9968,3.44,0.63,10.00,6,1,1
10.40,0.33,0.63,2.80,0.0840,5.00,22.00,0.9998,3.26,0.74,11.20,7,1,1
7.00,0.23,0.40,1.60,0.0630,21.00,67.00,0.9952,3.50,0.63,11.10,5,0,0
11.30,0.62,0.67,5.20,0.0860,6.00,19.00,0.9988,3.22,0.69,13.40,8,1,1
8.90,0.59,0.39,2.30,0.0950,5.00,22.00,0.9986,3.37,0.58,10.30,5,0,0
9.20,0.63,0.21,2.70,0.0970,29.00,65.00,0.9988,3.28,0.58,9.60,5,0,0
10.40,0.33,0.63,2.80,0.0840,5.00,22.00,0.9998,3.26,0.74,11.20,7,1,1
11.60,0.58,0.66,2.20,0.0740,10.00,47.00,1.0008,3.25,0.57,9.00,3,0,0
9.20,0.43,0.52,2.30,0.0830,14.00,23.00,0.9976,3.35,0.61,11.30,6,1,1
8.30,0.62,0.22,2.60,0.0870,6.00,19.00,0.9982,3.26,0.61,9.30,5,0,0
11.00,0.26,0.68,2.55,0.0850,10.00,25.00,0.9970,3.18,0.61,11.80,5,0,0
8.10,0.66,0.70,2.20,0.0980,25.00,129.00,0.9972,3.08,0.53,9.00,5,0,0
11.50,0.32,0.54,2.10,0.0840,5.00,15.00,0.9987,2.98,0.70,9.20,6,1,1
10.00,0.29,0.40,2.90,0.0980,10.00,26.00,1.0006,3.48,0.91,9.70,5,0,0
10.30,0.50,0.42,2.00,0.0690,21.00,51.00,0.9982,3.16,0.72,11.50,6,1,1
8.80,0.46,0.45,2.60,0.0650,7.00,18.00,0.9947,3.32,0.79,14.00,6,1,1
11.40,0.36,0.69,2.10,0.0900,6.00,21.00,1.0000,3.17,0.62,9.20,6,1,1
8.70,0.82,0.02,1.20,0.0700,36.00,48.00,0.9952,3.20,0.58,9.80,5,0,0
13.00,0.32,0.65,2.60,0.0930,15.00,47.00,0.9996,3.05,0.61,10.60,5,0,0
9.60,0.54,0.42,2.40,0.0810,25.00,52.00,0.9970,3.20,0.71,11.40,6,1,1
12.50,0.37,0.55,2.60,0.0830,25.00,68.00,0.9995,3.15,0.82,10.40,6,1,1
9.90,0.35,0.55,2.10,0.0620,5.00,14.00,0.9971,3.26,0.79,10.60,5,0,0
10.50,0.28,0.51,1.70,0.0800,10.00,24.00,0.9982,3.20,0.89,9.40,6,1,1
9.60,0.68,0.24,2.20,0.0870,5.00,28.00,0.9988,3.14,0.60,10.20,5,0,0
9.30,0.27,0.41,2.00,0.0910,6.00,16.00,0.9980,3.28,0.70,9.70,5,0,0
10.40,0.24,0.49,1.80,0.0750,6.00,20.00,0.9977,3.18,1.06,11.00,6,1,1
9.60,0.68,0.24,2.20,0.0870,5.00,28.00,0.9988,3.14,0.60,10.20,5,0,0
9.40,0.69,0.11,2.70,0.0770,6.00,31.00,0.9984,3.19,0.70,10.10,6,1,1
10.60,0.28,0.39,15.50,0.0690,6.00,23.00,1.0026,3.12,0.66,9.20,5,0,0
9.40,0.30,0.56,2.80,0.0800,6.00,17.00,0.9964,3.15,0.92,11.70,8,1,1
10.60,0.36,0.59,2.20,0.1520,6.00,18.00,0.9986,3.04,1.05,9.40,5,0,0
10.60,0.36,0.60,2.20,0.1520,7.00,18.00,0.9986,3.04,1.06,9.40,5,0,0
10.60,0.44,0.68,4.10,0.1140,6.00,24.00,0.9970,3.06,0.66,13.40,6,1,1
10.20,0.67,0.39,1.90,0.0540,6.00,17.00,0.9976,3.17,0.47,10.00,5,0,0
10.20,0.67,0.39,1.90,0.0540,6.00,17.00,0.9976,3.17,0.47,10.00,5,0,0
10.20,0.65,0.36,1.80,0.0530,5.00,14.00,0.9982,3.17,0.42,10.00,6,1,1
11.60,0.32,0.55,2.80,0.0810,35.00,67.00,1.0002,3.32,0.92,10.80,7,1,1
9.30,0.39,0.40,2.60,0.0730,10.00,26.00,0.9984,3.34,0.75,10.20,6,1,1
9.30,0.78,0.27,2.80,0.0780,24.00,56.00,0.9984,3.31,0.67,10.60,6,1,1
9.20,0.41,0.50,2.50,0.0550,12.00,25.00,0.9952,3.34,0.79,13.30,7,1,1
8.90,0.40,0.51,2.60,0.0520,13.00,27.00,0.9950,3.32,0.90,13.40,7,1,1
8.70,0.69,0.31,3.00,0.0860,23.00,81.00,1.0002,3.48,0.74,11.60,6,1,1
6.50,0.39,0.23,8.30,0.0510,28.00,91.00,0.9952,3.44,0.55,12.10,6,1,1
10.70,0.35,0.53,2.60,0.0700,5.00,16.00,0.9972,3.15,0.65,11.00,8,1,1
7.80,0.52,0.25,1.90,0.0810,14.00,38.00,0.9984,3.43,0.65,9.00,6,1,1
7.20,0.34,0.32,2.50,0.0900,43.00,113.00,0.9966,3.32,0.79,11.10,5,0,0
10.70,0.35,0.53,2.60,0.0700,5.00,16.00,0.9972,3.15,0.65,11.00,8,1,1
8.70,0.69,0.31,3.00,0.0860,23.00,81.00,1.0002,3.48,0.74,11.60,6,1,1
7.80,0.52,0.25,1.90,0.0810,14.00,38.00,0.9984,3.43,0.65,9.00,6,1,1
10.40,0.44,0.73,6.55,0.0740,38.00,76.00,0.9990,3.17,0.85,12.00,7,1,1
10.40,0.44,0.73,6.55,0.0740,38.00,76.00,0.9990,3.17,0.85,12.00,7,1,1
10.50,0.26,0.47,1.90,0.0780,6.00,24.00,0.9976,3.18,1.04,10.90,7,1,1
10.50,0.24,0.42,1.80,0.0770,6.00,22.00,0.9976,3.21,1.05,10.80,7,1,1
10.20,0.49,0.63,2.90,0.0720,10.00,26.00,0.9968,3.16,0.78,12.50,7,1,1
10.40,0.24,0.46,1.80,0.0750,6.00,21.00,0.9976,3.25,1.02,10.80,7,1,1
11.20,0.67,0.55,2.30,0.0840,6.00,13.00,1.0000,3.17,0.71,9.50,6,1,1
10.00,0.59,0.31,2.20,0.0900,26.00,62.00,0.9994,3.18,0.63,10.20,6,1,1
13.30,0.29,0.75,2.80,0.0840,23.00,43.00,0.9986,3.04,0.68,11.40,7,1,1
12.40,0.42,0.49,4.60,0.0730,19.00,43.00,0.9978,3.02,0.61,9.50,5,0,0
10.00,0.59,0.31,2.20,0.0900,26.00,62.00,0.9994,3.18,0.63,10.20,6,1,1
10.70,0.40,0.48,2.10,0.1250,15.00,49.00,0.9980,3.03,0.81,9.70,6,1,1
10.50,0.51,0.64,2.40,0.1070,6.00,15.00,0.9973,3.09,0.66,11.80,7,1,1
10.50,0.51,0.64,2.40,0.1070,6.00,15.00,0.9973,3.09,0.66,11.80,7,1,1
8.50,0.66,0.49,6.10,0.1220,34.00,151.00,1.0010,3.31,1.14,9.30,5,0,0
12.50,0.60,0.49,4.30,0.1000,5.00,14.00,1.0010,3.25,0.74,11.90,6,1,1
10.40,0.61,0.49,2.10,0.2000,5.00,16.00,0.9994,3.16,0.63,8.40,3,0,0
10.90,0.21,0.49,2.80,0.0880,11.00,32.00,0.9972,3.22,0.68,11.70,6,1,1
7.30,0.37,0.49,2.50,0.0880,39.00,106.00,0.9966,3.36,0.78,11.00,5,0,0
9.80,0.25,0.49,2.70,0.0880,15.00,33.00,0.9982,3.42,0.90,10.00,6,1,1
7.60,0.41,0.49,2.00,0.0880,16.00,43.00,0.9980,3.48,0.64,9.10,5,0,0
8.20,0.39,0.49,2.30,0.0990,47.00,133.00,0.9979,3.38,0.99,9.80,5,0,0
9.30,0.40,0.49,2.50,0.0850,38.00,142.00,0.9978,3.22,0.55,9.40,5,0,0
9.20,0.43,0.49,2.40,0.0860,23.00,116.00,0.9976,3.23,0.64,9.50,5,0,0
10.40,0.64,0.24,2.80,0.1050,29.00,53.00,0.9998,3.24,0.67,9.90,5,0,0
7.30,0.37,0.49,2.50,0.0880,39.00,106.00,0.9966,3.36,0.78,11.00,5,0,0
7.00,0.38,0.49,2.50,0.0970,33.00,85.00,0.9962,3.39,0.77,11.40,6,1,1
8.20,0.42,0.49,2.60,0.0840,32.00,55.00,0.9988,3.34,0.75,8.70,6,1,1
9.90,0.63,0.24,2.40,0.0770,6.00,33.00,0.9974,3.09,0.57,9.40,5,0,0
9.10,0.22,0.24,2.10,0.0780,1.00,28.00,0.9990,3.41,0.87,10.30,6,1,1
11.90,0.38,0.49,2.70,0.0980,12.00,42.00,1.0004,3.16,0.61,10.30,5,0,0
11.90,0.38,0.49,2.70,0.0980,12.00,42.00,1.0004,3.16,0.61,10.30,5,0,0
